from,to,transportation_type_id,transportation_type,price_unit,unit,price_euro,duration_HR,json
9,11,1,flight,500,USD,430.96,8.1,"{""option_id"": 0, ""option"": ""Fly-Tashkent-to-Phnom-Penh"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Phnom Penh Airport (PNH)"", ""dest_lat"": 11.55288, ""dest_lng"": 104.8447, ""dest_code"": ""KH"", ""dest_zone"": ""Asia/Phnom_Penh"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""PNH"", ""dest_name"": ""Phnom Penh"", ""dest_lat"": 11.55288, ""dest_lng"": 104.8447, ""dest_town"": ""Phnom Penh"", ""dest_country"": ""Cambodia"", ""dest_zone"": ""AS"", ""duration"": 29100, ""price_unit"": ""USD"", ""min_price_unit"": 500, ""max_price_unit"": 803.38}}, ""dist_trip"": 4781}"
9,11, ,car,600,USD,517.15,85.9,"{""option_id"": 7, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Phnom Penh Airport (PNH)"", ""dest_lat"": 11.55288, ""dest_lng"": 104.8447, ""dest_code"": ""KH"", ""dest_zone"": ""Asia/Phnom_Penh"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 309369.214, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Phnom Penh Airport (PNH)"", ""dest_lat"": 11.55288, ""dest_lng"": 104.8447, ""price_unit"": ""USD"", ""min_price_unit"": 600, ""max_price_unit"": 863.82}}, ""dist_trip"": 4781}"
9,12,1,flight,240,USD,206.86,14.9,"{""option_id"": 0, ""option"": ""Fly-to-Nay-Pyi-Taw"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Nay Pyi Taw Airport (NYT)"", ""dest_lat"": 19.6225, ""dest_lng"": 96.20139, ""dest_code"": ""MM"", ""dest_zone"": ""Asia/Rangoon"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""NYT"", ""dest_name"": ""Nay Pyi Taw"", ""dest_lat"": 19.6225, ""dest_lng"": 96.20139, ""dest_town"": ""Naypyitaw"", ""dest_country"": ""Myanmar"", ""dest_zone"": ""AS"", ""duration"": 53700, ""price_unit"": ""USD"", ""min_price_unit"": 240, ""max_price_unit"": 438.33}}, ""dist_trip"": 3501}"
9,12, ,car,0,,0,73.2,"{""option_id"": 7, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Nay Pyi Taw Airport (NYT)"", ""dest_lat"": 19.6225, ""dest_lng"": 96.20139, ""dest_code"": ""MM"", ""dest_zone"": ""Asia/Rangoon"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 263341.118, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Nay Pyi Taw Airport (NYT)"", ""dest_lat"": 19.6225, ""dest_lng"": 96.20139, ""price_unit"": """", ""min_price_unit"": 0, ""max_price_unit"": 0}}, ""dist_trip"": 3501}"
9,13,1,flight,390,USD,336.15,7.9,"{""option_id"": 0, ""option"": ""Fly-Tashkent-to-Muscat"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Muscat Airport (MCT)"", ""dest_lat"": 23.58794, ""dest_lng"": 58.28938, ""dest_code"": ""OM"", ""dest_zone"": ""Asia/Muscat"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""MCT"", ""dest_name"": ""Muscat"", ""dest_lat"": 23.58794, ""dest_lng"": 58.28938, ""dest_town"": ""Mu\u1e29\u0101faz\u0327at Masqa\u0163"", ""dest_country"": ""Oman"", ""dest_zone"": ""AS"", ""duration"": 28500, ""price_unit"": ""USD"", ""min_price_unit"": 390, ""max_price_unit"": 718.76}}, ""dist_trip"": 2211}"
9,15,1,flight,270,USD,232.72,10.2,"{""option_id"": 0, ""option"": ""Fly-from-Tashkent"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Male Airport (MLE)"", ""dest_lat"": 4.18991, ""dest_lng"": 73.52717, ""dest_code"": ""MV"", ""dest_zone"": ""Indian/Maldives"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""MLE"", ""dest_name"": ""Male"", ""dest_lat"": 4.18991, ""dest_lng"": 73.52717, ""dest_town"": ""Maale"", ""dest_country"": ""Maldives"", ""dest_zone"": ""AS"", ""duration"": 36600, ""price_unit"": ""USD"", ""min_price_unit"": 270, ""max_price_unit"": 866.36}}, ""dist_trip"": 4129}"
9,16,1,flight,4000,CNY,535.74,16.5,"{""option_id"": 0, ""option"": ""Fly-to-Lhasa"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Lhasa Airport (LXA)"", ""dest_lat"": 29.29014, ""dest_lng"": 90.90083, ""dest_code"": ""CN"", ""dest_zone"": ""Asia/Chongqing"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""LXA"", ""dest_name"": ""Lhasa"", ""dest_lat"": 29.29014, ""dest_lng"": 90.90083, ""dest_town"": ""Tibet Autonomous Region"", ""dest_country"": ""China"", ""dest_zone"": ""AS"", ""duration"": 59400, ""price_unit"": ""CNY"", ""min_price_unit"": 4000, ""max_price_unit"": 5388.28}}, ""dist_trip"": 2364}"
9,16, ,car,2000,CNY,267.87,50.2,"{""option_id"": 3, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Lhasa Airport (LXA)"", ""dest_lat"": 29.29014, ""dest_lng"": 90.90083, ""dest_code"": ""CN"", ""dest_zone"": ""Asia/Chongqing"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 180791.615, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Lhasa Airport (LXA)"", ""dest_lat"": 29.29014, ""dest_lng"": 90.90083, ""price_unit"": ""CNY"", ""min_price_unit"": 2000, ""max_price_unit"": 3019.59}}, ""dist_trip"": 2364}"
9,17,1,flight,340,USD,293.05,7.5,"{""option_id"": 0, ""option"": ""Fly-to-Kuwait"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Kuwait Airport (KWI)"", ""dest_lat"": 29.24072, ""dest_lng"": 47.97069, ""dest_code"": ""KW"", ""dest_zone"": ""Asia/Kuwait"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""flight"", ""type"": ""turquoise"", ""org_code"": ""TAS"", ""org_name"": ""Tashkent"", ""unknown"": """", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_town"": ""Toshkent Shahri"", ""org_country"": ""Uzbekistan"", ""org_zone"": ""AS"", ""dest_code"": ""KWI"", ""dest_name"": ""Kuwait"", ""dest_lat"": 29.24072, ""dest_lng"": 47.97069, ""dest_town"": ""Mu\u1e29\u0101faz\u0327at al Farw\u0101n\u012byah"", ""dest_country"": ""Kuwait"", ""dest_zone"": ""AS"", ""duration"": 27000, ""price_unit"": ""USD"", ""min_price_unit"": 340, ""max_price_unit"": 658.33}}, ""dist_trip"": 2342}"
9,17, ,car,95,USD,81.88,40.3,"{""option_id"": 2, ""option"": ""Drive"", ""org"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""org_code"": ""UZ"", ""org_zone"": ""Asia/Tashkent"", ""org_unknown"": 1, ""dest"": ""Kuwait Airport (KWI)"", ""dest_lat"": 29.24072, ""dest_lng"": 47.97069, ""dest_code"": ""KW"", ""dest_zone"": ""Asia/Kuwait"", ""dest_unknown"": 1, ""transits"": {""0"": {""cat"": ""car"", ""name"": ""car"", ""type"": ""grey-darker"", ""duration"": 145181.088, ""org_cat"": ""node"", ""org_name"": ""Tashkent Airport (TAS)"", ""org_lat"": 41.26384, ""org_lng"": 69.26547, ""dest_cat"": ""node"", ""dest_name"": ""Kuwait Airport (KWI)"", ""dest_lat"": 29.24072, ""dest_lng"": 47.97069, ""price_unit"": ""USD"", ""min_price_unit"": 95, ""max_price_unit"": 142.86}}, ""dist_trip"": 2342}"
